City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,soyo,-6.1349,12.3689,29.879999999999995,67,94,3.76,AO,1678017625
171,huarmey,-10.0681,-78.1522,23.29000000000002,81,100,2.13,PE,1678017625
172,batman,37.8874,41.1322,20.890000000000043,30,75,4.63,TR,1678017615
173,mayor pablo lagerenza,-19.9309,-60.7718,27.99000000000001,71,92,3.31,PY,1678017625
174,new norfolk,-42.7826,147.0587,17.730000000000018,68,71,0.8,AU,1678017625
175,berlevag,70.8578,29.0864,-7.029999999999973,68,40,4.63,NO,1678017626
176,kropotkin,45.4375,40.5756,10.090000000000032,77,95,8.85,RU,1678017518
177,saint-philippe,-21.3585,55.7679,27.28000000000003,89,100,3.08,RE,1678017626
178,teguise,29.0605,-13.564,17.120000000000005,77,20,4.12,ES,1678017626
179,vestmannaeyjar,63.4427,-20.2734,6.550000000000011,70,75,7.2,IS,1678017626
180,kavieng,-2.5744,150.7967,27.24000000000001,76,100,2.01,PG,1678017626
181,tiksi,71.6872,128.8694,-18.43999999999997,100,100,1.21,RU,1678017627
182,camacha,33.0833,-16.3333,17.680000000000007,72,20,3.09,PT,1678017627
183,puro,12.4841,123.3827,24.590000000000032,78,59,6.59,PH,1678017627
184,kharp,66.8014,65.8081,-23.45999999999998,100,79,0.5,RU,1678017627
185,taltal,-25.4,-70.4833,20.75,81,77,0.91,CL,1678017627
186,kavaratti,10.5669,72.642,28.25,58,0,1.01,IN,1678017627
187,victoria,22.2855,114.1577,21.03000000000003,58,0,3.58,HK,1678017362
188,geraldton,-28.7667,114.6,22.230000000000018,68,0,9.77,AU,1678017628
189,angoche,-16.2325,39.9086,29.660000000000025,76,99,2.99,MZ,1678017628
190,kismayo,-0.3582,42.5454,29.090000000000032,65,52,8.5,SO,1678017628
191,shubarkuduk,49.1447,56.4872,0.9800000000000182,94,65,7.57,KZ,1678017628
192,soe,-9.8607,124.284,18.650000000000034,95,55,1.51,ID,1678017628
193,souillac,-20.5167,57.5167,25.430000000000007,86,100,4.62,MU,1678017628
194,mizan teferi,6.9833,35.5833,30.110000000000014,28,98,0.58,ET,1678017628
195,seoul,37.5683,126.9778,6.660000000000025,32,4,1.17,KR,1678017629
196,ludvika,60.1496,15.1878,-1.2399999999999523,68,90,4.91,SE,1678017610
197,arraial do cabo,-22.9661,-42.0278,24.52000000000004,83,100,6.74,BR,1678017629
198,havelock,34.8791,-76.9013,11.100000000000023,72,0,0.45,US,1678017629
199,machico,32.7,-16.7667,23.170000000000016,81,20,7.72,PT,1678017629
200,ostersund,63.1792,14.6357,-2.4399999999999977,59,20,6.69,SE,1678017608
201,pacific grove,36.6177,-121.9166,9.25,87,100,6.17,US,1678017629
